source,aim,w
8.0,28.0,0.007061189057479251
8.0,29.0,0.019551547175144374
8.0,30.0,0.04191399688507295
8.0,31.0,0.008601533962316436
8.0,33.0,0.08970865086981311
8.0,34.0,0.06451681408775528
8.0,35.0,0.00881750566530432
8.0,37.0,0.008336807727202585
8.0,38.0,0.058053039555308265
8.0,39.0,0.0355727751898022
8.0,40.0,0.022860170345480026
8.0,41.0,0.03334723090881034
8.0,42.0,0.02645251699591296
8.0,43.0,0.017065989501637933
8.0,45.0,0.047419467145509916
8.0,47.0,0.009879223808022305
8.0,48.0,0.02645251699591296
8.0,49.0,0.030044855502665405
8.0,52.0,0.07147323755368395
8.0,53.0,0.13273601259969878
8.0,55.0,0.0309855193747633
8.0,56.0,0.16525610333207094
8.0,57.0,0.011926331967999972
8.0,58.0,0.034406135849265745
8.0,59.0,0.03135222467603063
8.0,60.0,0.010328506458254434
8.0,62.0,0.017487435419566724
8.0,64.0,0.0309855193747633
8.0,65.0,0.09189416256902223
8.0,66.0,0.07794153078860598
8.0,67.0,0.015337495471844778
8.0,68.0,0.021974042014452445
8.0,69.0,0.010708823421952984
8.0,70.0,0.011288091024643272
8.0,71.0,0.00881750566530432
8.0,73.0,0.06772854614785963
8.0,75.0,0.02323069967623409
8.0,76.0,0.0177863875949011
8.0,77.0,0.11790026554706715
8.0,78.0,0.0668070263902337
8.0,82.0,0.03649321796016208
8.0,83.0,0.03649321796016208
8.0,85.0,0.012365484170737448
8.0,86.0,0.024730968341474896
8.0,87.0,0.012164405986720693
8.0,88.0,0.07679695275737068
8.0,90.0,0.013034364783429585
8.0,91.0,0.14337801261772545
8.0,92.0,0.01257687528116686
8.0,94.0,0.013282660709046377
8.0,95.0,0.039847982127139116
8.0,96.0,0.013034364783429585
8.0,97.0,0.044538017593489125
8.0,98.0,0.01257687528116686
8.0,99.0,0.013282660709046377
8.0,100.0,0.013282660709046377
8.0,101.0,0.03709645251221234
8.0,103.0,0.013545709229571929
8.0,104.0,0.013282660709046377
9.0,10.0,0.14591350804388875
9.0,11.0,0.11861459493395853
9.0,12.0,0.09151425394035548
9.0,13.0,0.01840350883831613
9.0,14.0,0.06544771955484657
9.0,15.0,0.006117609802904954
9.0,16.0,0.08177701230402072
9.0,17.0,0.027264278908456396
9.0,18.0,0.015374308652101975
9.0,19.0,0.06813289926946646
9.0,20.0,0.04699996426450356
9.0,21.0,0.011054617607630523
9.0,22.0,0.02402413234940576
9.0,24.0,0.612136401540883
9.0,25.0,0.02806951884934366
9.0,27.0,0.06771827802376365
9.0,28.0,0.022818802224587795
9.0,29.0,0.03159120118032817
9.0,30.0,0.11287371923446515
9.0,31.0,0.013898275539462891
9.0,32.0,0.021554305028202898
9.0,33.0,0.05798014882110035
9.0,34.0,0.007446117526812838
9.0,35.0,0.007123620266109585
9.0,36.0,0.021554305028202898
9.0,37.0,0.013470533444360342
9.0,38.0,0.007816795073779753
9.0,39.0,0.014369536685468597
9.0,40.0,0.006156207093069422
9.0,41.0,0.006735266722180171
9.0,42.0,0.01424724053221917
9.0,43.0,0.013787530543184013
9.0,44.0,0.02615999989536
9.0,45.0,0.007661991723919431
9.0,47.0,0.01596275445768735
9.0,48.0,0.04274172159665751
9.0,49.0,0.07281928121462722
9.0,50.0,0.007816795073779753
9.0,51.0,0.008067664895780351
9.0,52.0,0.016497966750889208
9.0,53.0,0.008248983375444604
9.0,55.0,0.04172175256670258
9.0,56.0,0.02503305154002155
9.0,57.0,0.009635226030179477
9.0,58.0,0.027796551078925782
9.0,59.0,0.008443103660959754
9.0,62.0,0.007064007333008537
9.0,63.0,0.008156813070539939
9.0,65.0,0.008248983375444604
9.0,68.0,0.017752722477790937
9.0,69.0,0.008651606752574783
9.0,71.0,0.03561810133054792
9.0,72.0,0.007738232325341367
9.0,73.0,0.027358782758229137
9.0,75.0,0.009383985068515123
9.0,77.0,0.009525105544707379
9.0,79.0,0.009672790406676708
9.0,81.0,0.009827564880753332
9.0,82.0,0.019655129761506664
9.0,83.0,0.019655129761506664
9.0,85.0,0.009990014975043673
9.0,86.0,0.009990014975043673
9.0,88.0,0.010340647907388008
9.0,90.0,0.010530400393442722
9.0,91.0,0.021060800786885443
9.0,96.0,0.010530400393442722
9.0,97.0,0.00899551235872028
9.0,98.0,0.020321593665607426
9.0,99.0,0.010730997473258171
9.0,102.0,0.010730997473258171
9.0,103.0,0.02188702620658331
9.0,104.0,0.03219299241977451
10.0,11.0,0.03825460278380029
10.0,12.0,0.18397324220155994
10.0,13.0,0.008968970586617499
10.0,14.0,0.00569571771811174
10.0,16.0,0.03202563076101743
10.0,17.0,0.08858184517732262
10.0,18.0,0.012487810821089254
10.0,19.0,0.019156525704423024
10.0,20.0,0.015617376188860606
10.0,21.0,0.013468700594029477
10.0,22.0,0.021952851997938068
10.0,23.0,0.007500586006173494
10.0,24.0,0.0609784538766253
10.0,25.0,0.04103913408340617
10.0,26.0,0.0067689744342241285
10.0,27.0,0.02250175801852048
10.0,29.0,0.025660011963983362
10.0,30.0,0.034380708208626445
10.0,31.0,0.008466675133346034
10.0,32.0,0.03501504876259268
10.0,33.0,0.02649064714130088
10.0,34.0,0.018144368465060574
10.0,35.0,0.02603778219616477
10.0,36.0,0.00875376219064817
10.0,37.0,0.008206099398622182
10.0,38.0,0.01904761904761905
10.0,39.0,0.00875376219064817
10.0,41.0,0.008206099398622182
10.0,42.0,0.01735852146410985
