tag,cluster,mounth,count
swift,4,1,0.0
swift,4,2,0.0
swift,4,3,13.0
swift,4,4,12.0
swift,4,5,6.0
swift,4,6,0.0
swift,4,7,1.0
swift,4,8,2.0
swift,4,9,0.0
matplotlib,2,1,0.0
matplotlib,2,2,1.0
matplotlib,2,3,8.0
matplotlib,2,4,9.0
matplotlib,2,5,4.0
matplotlib,2,6,3.0
matplotlib,2,7,2.0
matplotlib,2,8,0.0
matplotlib,2,9,0.0
heroku,1,1,0.0
heroku,1,2,3.0
heroku,1,3,12.0
heroku,1,4,6.0
heroku,1,5,1.0
heroku,1,6,2.0
heroku,1,7,2.0
heroku,1,8,1.0
heroku,1,9,0.0
wirvsvirus,1,1,0.0
wirvsvirus,1,2,0.0
wirvsvirus,1,3,29.0
wirvsvirus,1,4,0.0
wirvsvirus,1,5,0.0
wirvsvirus,1,6,0.0
wirvsvirus,1,7,0.0
wirvsvirus,1,8,0.0
wirvsvirus,1,9,0.0
contact tracing,4,1,0.0
contact tracing,4,2,0.0
contact tracing,4,3,3.0
contact tracing,4,4,12.0
contact tracing,4,5,7.0
contact tracing,4,6,4.0
contact tracing,4,7,2.0
contact tracing,4,8,0.0
contact tracing,4,9,0.0
pytorch,3,1,1.0
pytorch,3,2,1.0
pytorch,3,3,9.0
pytorch,3,4,6.0
pytorch,3,5,6.0
pytorch,3,6,3.0
pytorch,3,7,0.0
pytorch,3,8,0.0
pytorch,3,9,0.0
website,1,1,0.0
website,1,2,1.0
website,1,3,7.0
website,1,4,8.0
website,1,5,4.0
website,1,6,3.0
website,1,7,1.0
website,1,8,2.0
website,1,9,0.0
retrofit2,4,1,0.0
retrofit2,4,2,0.0
retrofit2,4,3,9.0
retrofit2,4,4,12.0
retrofit2,4,5,4.0
retrofit2,4,6,2.0
retrofit2,4,7,0.0
retrofit2,4,8,0.0
retrofit2,4,9,0.0
graphql,1,1,0.0
graphql,1,2,0.0
graphql,1,3,24.0
graphql,1,4,7.0
graphql,1,5,3.0
graphql,1,6,0.0
graphql,1,7,2.0
graphql,1,8,1.0
graphql,1,9,0.0
cli,2,1,0.0
cli,2,2,0.0
cli,2,3,20.0
cli,2,4,5.0
cli,2,5,0.0
cli,2,6,2.0
cli,2,7,1.0
cli,2,8,1.0
cli,2,9,0.0
csv,2,1,0.0
csv,2,2,0.0
csv,2,3,13.0
csv,2,4,11.0
csv,2,5,0.0
csv,2,6,2.0
csv,2,7,0.0
csv,2,8,0.0
csv,2,9,0.0
hackathon,1,1,0.0
hackathon,1,2,0.0
hackathon,1,3,10.0
hackathon,1,4,10.0
hackathon,1,5,2.0
hackathon,1,6,2.0
hackathon,1,7,1.0
hackathon,1,8,1.0
hackathon,1,9,0.0
spring boot,1,1,1.0
spring boot,1,2,0.0
spring boot,1,3,15.0
spring boot,1,4,3.0
spring boot,1,5,3.0
spring boot,1,6,2.0
spring boot,1,7,4.0
spring boot,1,8,2.0
spring boot,1,9,0.0
prediction,2,1,1.0
prediction,2,2,2.0
prediction,2,3,12.0
prediction,2,4,4.0
prediction,2,5,3.0
prediction,2,6,0.0
prediction,2,7,2.0
prediction,2,8,2.0
prediction,2,9,0.0
beautifulsoup4,2,1,0.0
beautifulsoup4,2,2,0.0
beautifulsoup4,2,3,9.0
beautifulsoup4,2,4,10.0
beautifulsoup4,2,5,2.0
beautifulsoup4,2,6,2.0
beautifulsoup4,2,7,2.0
beautifulsoup4,2,8,0.0
beautifulsoup4,2,9,0.0
axios,1,1,0.0
axios,1,2,0.0
axios,1,3,5.0
axios,1,4,9.0
axios,1,5,6.0
